"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1562","Resizeable Free","chromium","2026-09-13","passed","2026-09-13","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","2994","Web Tables","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","1528","Text Box Test","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","4682","Revert Droppable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1756","Selectable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","2460","test","chromium","2026-09-13","passed","2026-09-13","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","1857","Browser Windows : New Tab","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","7526","Dynamic Properties Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","1653","All Button Functionalities Combined","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","2142","Valid Link","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1499","Prompt Box Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1637","Browser Windows : New Window","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1641","Nested Frames","chromium","2026-09-13","passed","2026-09-13","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","2997","Modal Dialogs","chromium","2026-09-13","passed","2026-09-13","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","5555","Links Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","2290","Test case","chromium","2026-09-13","passed","2026-09-13","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","1537","Resizeable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
